EstablecimientoCodigo;EstablecimientoGlosa;EstablecimientoCodigoAntiguo;EstablecimientoCodigoMadreAntiguo;EstablecimientoCodigoMadreNuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;AmbitoFuncionamiento;Certificacion;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaCodigo;ComunaGlosa;TipoViaGlosa;Numero;NombreVia;TelefonoMovil_TelefonoFijo;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;ClasificacionTipoSapu;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa;FechaIncorporacion
126704;Hospital Comunitario Cristina Calderón de Puerto Williams;26-704;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;No Aplica;Servicio de Salud;Primario;12201;Cabo de Hornos;Calle;246;O'Higgins;612453636;;SI;Urgencia Hospitalaria (UEH);No Aplica;-54.935209;-67.600393;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
126204;Hospital Naval (Puerto Williams);26-204;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;No Aplica;Fuerzas Armadas y de Orden (FFAA);Terciario;12201;Cabo de Hornos;Calle;56;Mc Intyre, Puerto Williams;612624328;;SI;Urgencia Hospitalaria (UEH);No Aplica;-54.934374;-67.608895;Pendiente;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;07-10-2022
126412;Posta de Salud Rural Cameron;26-412;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;12303;Timaukel;Calle;;Caserío de Camerón;74613302;;NO;No Aplica;No Aplica;-53.640546;-69.645848;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126414;Posta de Salud Rural Agua Fresca;26-414;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;;Caserío de Agua Fresca;612260555;;NO;No Aplica;No Aplica;-53.404244;-70.990158;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126102;Hospital Dr. Marco Antonio Chamorro ( Porvenir);26-102;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;No Aplica;Servicio de Salud;Primario;12301;Porvenir;Calle;480;Carlos Wood;612291800;04-01-2018;SI;Urgencia Hospitalaria (UEH);No Aplica;-53.298162;-70.358384;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
201364;UNO SALUD DENTAL LOS ÁNGELES 2;;;;8;Región Del Bíobío;8.0;SEREMI Del Biobío;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud;No Aplica;Privado;No Aplica;8301;Los Ángeles;Avenida;610;ALEMANIA;;13-02-2023;NO;No Aplica;No Aplica;-37.468505;-72.340387;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;18-04-2023
200311;Centro Comunitario de Salud Familiar Dr. Juan Damianovic;26-902;26-301;126301.0;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;370;Linao;;17-02-2017;NO;No Aplica;No Aplica;-53.180523;-70.951523;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
200710;Complejo Miraflores (Salud Mental);26-911;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Mental;Establecimiento de Salud;No Aplica;Servicio de Salud;Secundario;12101;Punta Arenas;Calle;825;Las Heras;611739;;NO;No Aplica;No Aplica;-53.178263;-70.921575;Público;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
126606;COSAM Punta Arenas;26-606;26-010;126010.0;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Mental  (COSAM);Unidad de Atención;No Aplica;Municipal;Secundario;12101;Punta Arenas;Calle;225;Junta de Gobierno;612291250;;NO;No Aplica;No Aplica;-53.178248;-70.922132;Público;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
126801;SAR Dr. Juan Damianovic;26-801;26-301;126301.0;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Establecimiento de Salud;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;2850;Zenteno;612260555;24-09-2021;SI;Urgencia Ambulatoria (SAR);No Aplica;-53.174898;-70.938015;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;16-12-2021
